id,neighbourhood,district,property_type,room_type,accommodates,n_bathrooms,bedrooms,beds,price,wifi,kitchen,parking,balcony,bbq,washer,host_email,host_phone,host_work_email,longitude,latitude
39971294,nördliche Luisenstadt,Friedrichshain-Kreuzberg,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,50.0,1,1,1,0,0,1,1,1,1,13.41573,52.50168
17580693,Parkviertel,Mitte,Private room in condo,Private room,1,0.0,1.0,1.0,42.0,1,0,0,0,0,0,1,1,0,13.35515,52.56151
579471587567149993,Friedenau,Tempelhof - Schöneberg,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,52.0,1,1,0,0,0,1,1,1,0,13.336424344175285,52.47726644290599
17497917,Alexanderplatz,Mitte,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,106.0,1,1,1,1,0,1,1,1,1,13.41012,52.52438
9924899,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,Private room in rental unit,Private room,1,0.0,1.0,1.0,39.0,1,1,0,0,0,0,1,1,0,13.41712,52.49087
37167219,südliche Luisenstadt,Friedrichshain-Kreuzberg,Private room in rental unit,Private room,4,1.0,2.0,2.0,80.0,1,1,0,0,0,1,1,1,0,13.43814,52.49781
1514701,Südliche Friedrichstadt,Friedrichshain-Kreuzberg,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,43.0,1,1,0,0,0,1,1,1,1,13.41807,52.49884
1599410,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,68.0,1,1,0,0,0,1,1,1,0,13.39046,52.48889
398011,Prenzlauer Berg Ost,Pankow,Entire rental unit,Entire home/apt,3,1.0,1.0,3.0,65.0,1,1,0,0,0,1,1,1,0,13.44103,52.53645
23134815,Osloer Straße,Mitte,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,30.0,1,1,0,0,0,1,1,1,0,13.38765,52.55316
27572024,Schöneberg-Süd,Tempelhof - Schöneberg,Private room in rental unit,Private room,1,0.0,1.0,1.0,35.0,0,1,0,0,0,0,1,1,0,13.35507,52.48401
37143203,Schöneberg-Nord,Tempelhof - Schöneberg,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,75.0,1,1,0,0,0,1,1,1,0,13.36195,52.49508
40855650,Brunnenstr. Nord,Mitte,Private room in rental unit,Private room,2,0.0,1.0,1.0,45.0,1,1,1,1,0,0,1,1,0,13.38001,52.5464
45707053,Pankow Zentrum,Pankow,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,90.0,1,1,1,0,0,1,1,1,0,13.41276,52.57247
549885670737543278,Other,Treptow - Köpenick,Private room in rental unit,Private room,2,0.0,1.0,1.0,66.0,1,1,1,0,0,1,1,1,0,13.51773,52.45282
14712454,Mahlsdorf,Marzahn - Hellersdorf,Other,Entire home/apt,4,1.0,2.0,4.0,72.0,1,1,1,1,1,0,1,1,0,13.65312,52.53443
29453151,Halensee,Charlottenburg-Wilm.,Entire condo,Entire home/apt,3,1.0,1.0,2.0,143.0,1,1,1,0,0,1,1,1,0,13.2865,52.49728
229363,Moabit Ost,Mitte,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,95.0,1,1,1,1,0,1,1,1,0,13.3419,52.52265
53199782,Moabit Ost,Mitte,Entire condo,Entire home/apt,8,2.0,3.0,4.0,240.0,0,0,0,0,0,0,1,1,0,13.34871,52.52313
26379731,Weißensee,Pankow,Shared room in rental unit,Shared room,2,0.0,1.0,1.0,100.0,1,1,0,0,0,1,1,1,0,13.4649,52.54868
32214669,Moabit Ost,Mitte,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,87.0,1,1,0,0,0,0,1,1,1,13.35074,52.53508
